Date,Type,Link
2023-03-03 04:43:52,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7037277914433814528
2023-02-20 16:37:36,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7033273677097930752?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7033273677097930752%2C7033443007626424320%29
2023-02-20 16:36:19,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7033273677097930752
2023-02-20 16:35:38,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7033429873222172672
2023-02-19 06:06:19,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7032868473621942272
2023-02-16 11:06:26,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7031883282333995008
2023-02-14 15:26:16,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7030976570416590849?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7030976570416590849%2C7031103963382870016%29
2023-02-14 15:26:10,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7030976570416590849
2023-02-14 15:16:42,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7031223105138151424
2023-02-14 04:12:59,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7031109877095612417
2023-02-13 18:30:10,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7030849649116680192
2023-02-13 07:08:50,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7030783389670514688
2023-02-13 07:06:52,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7030792102720532480
2023-02-13 05:59:10,ENTERTAINMENT,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7029671747633242113
2023-02-12 06:03:36,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7030410874167197696
