Date,Link,OptionText
2021-11-14 03:37:21,https://www.linkedin.com/feed/update/urn:li:ugcPost:6865280805942439936,Ambivert
2021-11-14 03:21:54,https://www.linkedin.com/feed/update/urn:li:ugcPost:6863674031409795072,Sr. Engineer/Tech Lead of team
2021-11-14 03:18:51,https://www.linkedin.com/feed/update/urn:li:ugcPost:6864507769010049024,Die rich and famous
2021-11-14 03:17:07,https://www.linkedin.com/feed/update/urn:li:ugcPost:6865183789698691072,NETFLIX
2021-11-14 03:16:39,https://www.linkedin.com/feed/update/urn:li:ugcPost:6865151576399515648,"No, I don't"
2021-11-14 03:15:06,https://www.linkedin.com/feed/update/urn:li:ugcPost:6865175846001504256,Oyo ❤️
2021-11-04 08:11:14,https://www.linkedin.com/feed/update/urn:li:ugcPost:6861921973493121025,Your Production Server
2021-10-31 12:23:09,https://www.linkedin.com/feed/update/urn:li:ugcPost:6859547931930951680,Live tech/coding interview
2021-10-31 03:53:01,https://www.linkedin.com/feed/update/urn:li:ugcPost:6860103587448586240,Amazon
2021-10-25 02:42:00,https://www.linkedin.com/feed/update/urn:li:ugcPost:6857628950303256576,2. Infosys
2021-10-24 03:13:09,https://www.linkedin.com/feed/update/urn:li:ugcPost:6857716048070893568,Yes(Check the first comment)
2021-10-22 03:21:43,https://www.linkedin.com/feed/update/urn:li:ugcPost:6856902258827833344,Hyderabad: Love ❤️
2021-10-21 02:57:50,https://www.linkedin.com/feed/update/urn:li:ugcPost:6856496660764352512,React.js
2021-10-21 02:56:47,https://www.linkedin.com/feed/update/urn:li:ugcPost:6856443801146396672,Deloitte
2021-10-20 05:53:35,https://www.linkedin.com/feed/update/urn:li:ugcPost:6855767389666058240,Controversial Polls 🤣
2021-10-20 05:52:28,https://www.linkedin.com/feed/update/urn:li:ugcPost:6855861548246724609,Java 👏
2021-10-20 05:51:07,https://www.linkedin.com/feed/update/urn:li:ugcPost:6856059554657042432,Work from Home (Your City)
2021-10-20 05:50:19,https://www.linkedin.com/feed/update/urn:li:ugcPost:6856094586511663104,India
2021-10-13 17:09:50,https://www.linkedin.com/feed/update/urn:li:ugcPost:6853667051987357696,30 Days
2021-10-12 16:07:01,https://www.linkedin.com/feed/update/urn:li:ugcPost:6853656825502470144,India
2021-10-10 06:26:03,https://www.linkedin.com/feed/update/urn:li:ugcPost:6852840484382019584,5 to 10
2021-10-06 15:16:22,https://www.linkedin.com/feed/update/urn:li:ugcPost:6851400343616589824,yes
2021-09-28 12:48:28,https://www.linkedin.com/feed/update/urn:li:ugcPost:6848472249129811968,Airtel 👏🏻
2021-09-27 16:30:52,https://www.linkedin.com/feed/update/urn:li:ugcPost:6848098115665375232,3. Work-life Balance
2021-09-26 13:36:46,https://www.linkedin.com/feed/update/urn:li:ugcPost:6847770323190861824,CTC offered
2021-08-28 03:30:28,https://www.linkedin.com/feed/update/urn:li:ugcPost:6836966134189756416,5+
2021-08-28 03:30:03,https://www.linkedin.com/feed/update/urn:li:ugcPost:6837028372036497408,Amazon
2021-08-18 17:54:43,https://www.linkedin.com/feed/update/urn:li:ugcPost:6833684623952789504,Free courses on Youtube
2021-08-16 16:36:57,https://www.linkedin.com/feed/update/urn:li:ugcPost:6833017606279176192,Work from Home 
2021-08-14 18:07:30,https://www.linkedin.com/feed/update/urn:li:ugcPost:6832358528582324224,Yes .I  have uploaded my CV
2021-08-13 10:37:17,https://www.linkedin.com/feed/update/urn:li:ugcPost:6831805466612506624,LinkedIn
2021-08-13 10:36:57,https://www.linkedin.com/feed/update/urn:li:ugcPost:6831529112729903104,Java(Springboot)
2021-08-13 10:33:00,https://www.linkedin.com/feed/update/urn:li:ugcPost:6831823501469487104,They have not taken a decision
2021-08-12 17:48:37,https://www.linkedin.com/feed/update/urn:li:ugcPost:6831194409749528577,Naa
2021-08-12 12:41:47,https://www.linkedin.com/feed/update/urn:li:ugcPost:6831437378658287617,Yes
2021-08-10 13:56:01,https://www.linkedin.com/feed/update/urn:li:ugcPost:6830723837819183104,CTC Equal to 2X(Double)
2021-08-10 12:46:19,https://www.linkedin.com/feed/update/urn:li:ugcPost:6830781334022168576,Variable by Developer Tools
2021-08-08 03:04:34,https://www.linkedin.com/feed/update/urn:li:ugcPost:6829347938762936320,selenium
2021-08-07 04:43:21,https://www.linkedin.com/feed/update/urn:li:ugcPost:6829416073549410305,No
2021-08-06 08:45:41,https://www.linkedin.com/feed/update/urn:li:ugcPost:6829267416657276929,Hydrabad
2021-08-06 05:06:43,https://www.linkedin.com/feed/update/urn:li:ugcPost:6829267888306819072,Yes .I have uploaded my CV
2021-08-05 17:34:02,https://www.linkedin.com/feed/update/urn:li:ugcPost:6829066837301456896,U.K.
2021-08-05 07:30:22,https://www.linkedin.com/feed/update/urn:li:ugcPost:6828918047156297728,[5]
2021-08-05 02:49:54,https://www.linkedin.com/feed/update/urn:li:ugcPost:6828679585874419712,500 To 2500 Connections
2021-08-04 13:18:09,https://www.linkedin.com/feed/update/urn:li:ugcPost:6828602120393043968,No
2021-08-04 13:14:46,https://www.linkedin.com/feed/update/urn:li:ugcPost:6828331539567300608,2. PwC
2021-08-04 13:13:58,https://www.linkedin.com/feed/update/urn:li:ugcPost:6828222223405457408,3. ICICI
2021-08-03 13:23:54,https://www.linkedin.com/feed/update/urn:li:ugcPost:6828213108364996608,True
2021-08-03 11:05:06,https://www.linkedin.com/feed/update/urn:li:ugcPost:6828237865751764992,SDE
2021-08-03 06:04:32,https://www.linkedin.com/feed/update/urn:li:ugcPost:6827902414079848448,Between 3 - 5
2021-08-01 13:04:10,https://www.linkedin.com/feed/update/urn:li:ugcPost:6827532688405209088,Taking Udemy / online course
2021-08-01 12:49:53,https://www.linkedin.com/feed/update/urn:li:ugcPost:6827531390498811904,Are you kidding me ?
