Name
Microsoft Power BI
Analytics
Visualization
Data Visualization
Query Writing
Business Intelligence (BI)
Dashboard
React.js
MongoDB
UI/UX
Figma (Software)
Git
Python (Programming Language)
NumPy
Pandas (Software)
Looker (Software)
LookML
Google Cloud Platform (GCP)
Microsoft Excel
Data Analytics
Adobe Acrobat
Business English
Microsoft Office
Team Leadership
C
Java
C++
Visual Basic
PowerPoint
Microsoft Word
Windows
English
Photoshop
Programming
HTML
Research
JavaScript
Web Design
SQL
Data Science
Visual Basic .NET (VB.NET)
MySQL
LaTeX
Python
Software Development
ASP.NET
Leadership
